"time_index","target"
"2011-01-02",-184
"2011-01-03",548
"2011-01-04",213
"2011-01-05",38
"2011-01-06",6
"2011-01-07",-96
"2011-01-08",-551
"2011-01-09",-137
"2011-01-10",499
"2011-01-11",-58
"2011-01-12",-101
"2011-01-13",244
"2011-01-14",15
"2011-01-15",-173
"2011-01-16",-44
"2011-01-17",-204
"2011-01-18",-317
"2011-01-19",967
"2011-01-20",277
"2011-01-21",-384
"2011-01-22",-562
"2011-01-23",5
"2011-01-24",430
"2011-01-25",569
"2011-01-26",-1479
"2011-01-27",-75
"2011-01-28",736
"2011-01-29",-69
"2011-01-30",-2
"2011-01-31",405
"2011-02-01",-141
"2011-02-02",166
"2011-02-03",24
"2011-02-04",158
"2011-02-05",-703
"2011-02-06",618
"2011-02-07",89
"2011-02-08",-182
"2011-02-09",75
"2011-02-10",-67
"2011-02-11",208
"2011-02-12",-274
"2011-02-13",117
"2011-02-14",324
"2011-02-15",-98
"2011-02-16",300
"2011-02-17",360
"2011-02-18",452
"2011-02-19",-1292
"2011-02-20",177
"2011-02-21",-705
"2011-02-22",343
"2011-02-23",467
"2011-02-24",-110
"2011-02-25",-346
"2011-02-26",508
"2011-02-27",433
"2011-02-28",-956
"2011-03-01",405
"2011-03-02",283
"2011-03-03",-449
"2011-03-04",259
"2011-03-05",133
"2011-03-06",-1472
"2011-03-07",1267
"2011-03-08",261
"2011-03-09",-242
"2011-03-10",-1268
"2011-03-11",1354
"2011-03-12",155
"2011-03-13",285
"2011-03-14",-371
"2011-03-15",10
"2011-03-16",136
"2011-03-17",552
"2011-03-18",495
"2011-03-19",-122
"2011-03-20",-646
"2011-03-21",-394
"2011-03-22",626
"2011-03-23",-582
"2011-03-24",-256
"2011-03-25",345
"2011-03-26",286
"2011-03-27",-803
"2011-03-28",335
"2011-03-29",397
"2011-03-30",-889
"2011-03-31",149
"2011-04-01",542
"2011-04-02",25
"2011-04-03",997
"2011-04-04",-134
"2011-04-05",-1320
"2011-04-06",1013
"2011-04-07",333
"2011-04-08",-1670
"2011-04-09",984
"2011-04-10",440
"2011-04-11",453
"2011-04-12",-1314
"2011-04-13",128
"2011-04-14",1105
"2011-04-15",-141
"2011-04-16",-2331
"2011-04-17",2949
"2011-04-18",-315
"2011-04-19",-225
"2011-04-20",740
"2011-04-21",245
"2011-04-22",-2506
"2011-04-23",2353
"2011-04-24",155
"2011-04-25",-118
"2011-04-26",327
"2011-04-27",-528
"2011-04-28",186
"2011-04-29",537
"2011-04-30",717
"2011-05-01",-1961
"2011-05-02",1050
"2011-05-03",50
"2011-05-04",-1818
"2011-05-05",1800
"2011-05-06",175
"2011-05-07",106
"2011-05-08",-381
"2011-05-09",29
"2011-05-10",441
"2011-05-11",-621
"2011-05-12",682
"2011-05-13",-759
"2011-05-14",-696
"2011-05-15",1144
"2011-05-16",-595
"2011-05-17",165
"2011-05-18",-268
"2011-05-19",720
"2011-05-20",342
"2011-05-21",888
"2011-05-22",-1145
"2011-05-23",-386
"2011-05-24",218
"2011-05-25",486
"2011-05-26",-301
"2011-05-27",2
"2011-05-28",79
"2011-05-29",30
"2011-05-30",-690
"2011-05-31",-116
"2011-06-01",-8
"2011-06-02",994
"2011-06-03",344
"2011-06-04",30
"2011-06-05",-436
"2011-06-06",-358
"2011-06-07",285
"2011-06-08",-432
"2011-06-09",-486
"2011-06-10",671
"2011-06-11",380
"2011-06-12",-506
"2011-06-13",560
"2011-06-14",-129
"2011-06-15",289
"2011-06-16",-1413
"2011-06-17",1077
"2011-06-18",275
"2011-06-19",-375
"2011-06-20",-734
"2011-06-21",825
"2011-06-22",-328
"2011-06-23",283
"2011-06-24",201
"2011-06-25",211
"2011-06-26",103
"2011-06-27",-597
"2011-06-28",-60
"2011-06-29",577
"2011-06-30",290
"2011-07-01",-153
"2011-07-02",-243
"2011-07-03",-470
"2011-07-04",1394
"2011-07-05",-1378
"2011-07-06",-36
"2011-07-07",-37
"2011-07-08",-552
"2011-07-09",1296
"2011-07-10",-455
"2011-07-11",-795
"2011-07-12",172
"2011-07-13",84
"2011-07-14",742
"2011-07-15",454
"2011-07-16",385
"2011-07-17",-621
"2011-07-18",-844
"2011-07-19",83
"2011-07-20",-209
"2011-07-21",-548
"2011-07-22",-397
"2011-07-23",-102
"2011-07-24",321
"2011-07-25",234
"2011-07-26",750
"2011-07-27",66
"2011-07-28",-266
"2011-07-29",-544
"2011-07-30",629
"2011-07-31",-173
"2011-08-01",-36
"2011-08-02",579
"2011-08-03",-1271
"2011-08-04",1002
"2011-08-05",290
"2011-08-06",-572
"2011-08-07",-509
"2011-08-08",541
"2011-08-09",276
"2011-08-10",178
"2011-08-11",12
"2011-08-12",113
"2011-08-13",-755
"2011-08-14",-330
"2011-08-15",518
"2011-08-16",387
"2011-08-17",-31
"2011-08-18",-889
"2011-08-19",348
"2011-08-20",1038
"2011-08-21",-1318
"2011-08-22",885
"2011-08-23",1137
"2011-08-24",-765
"2011-08-25",-1588
"2011-08-26",1119
"2011-08-27",-3546
"2011-08-28",3219
"2011-08-29",300
"2011-08-30",570
"2011-08-31",-146
"2011-09-01",57
"2011-09-02",-388
"2011-09-03",-243
"2011-09-04",456
"2011-09-05",-1589
"2011-09-06",-641
"2011-09-07",-714
"2011-09-08",-154
"2011-09-09",1702
"2011-09-10",1801
"2011-09-11",-299
"2011-09-12",-333
"2011-09-13",50
"2011-09-14",22
"2011-09-15",-1126
"2011-09-16",1101
"2011-09-17",-249
"2011-09-18",-237
"2011-09-19",265
"2011-09-20",-898
"2011-09-21",711
"2011-09-22",443
"2011-09-23",-2400
"2011-09-24",3028
"2011-09-25",-413
"2011-09-26",-380
"2011-09-27",-510
"2011-09-28",-213
"2011-09-29",932
"2011-09-30",363
"2011-10-01",-2773
"2011-10-02",489
"2011-10-03",652
"2011-10-04",886
"2011-10-05",370
"2011-10-06",-61
"2011-10-07",220
"2011-10-08",424
"2011-10-09",102
"2011-10-10",-394
"2011-10-11",-554
"2011-10-12",-2147
"2011-10-13",497
"2011-10-14",731
"2011-10-15",1573
"2011-10-16",-176
"2011-10-17",-471
"2011-10-18",178
"2011-10-19",-2324
"2011-10-20",1771
"2011-10-21",109
"2011-10-22",4
"2011-10-23",73
"2011-10-24",-194
"2011-10-25",500
"2011-10-26",-793
"2011-10-27",-1235
"2011-10-28",1088
"2011-10-29",-3120
"2011-10-30",2704
"2011-10-31",338
"2011-11-01",399
"2011-11-02",118
"2011-11-03",-212
"2011-11-04",72
"2011-11-05",-120
"2011-11-06",-277
"2011-11-07",386
"2011-11-08",170
"2011-11-09",-96
"2011-11-10",-1176
"2011-11-11",435
"2011-11-12",699
"2011-11-13",-350
"2011-11-14",769
"2011-11-15",-291
"2011-11-16",-2378
"2011-11-17",1236
"2011-11-18",339
"2011-11-19",271
"2011-11-20",-143
"2011-11-21",-755
"2011-11-22",-1158
"2011-11-23",959
"2011-11-24",-1071
"2011-11-25",1297
"2011-11-26",276
"2011-11-27",3
"2011-11-28",796
"2011-11-29",-953
"2011-11-30",699
"2011-12-01",114
"2011-12-02",213
"2011-12-03",-326
"2011-12-04",-129
"2011-12-05",326
"2011-12-06",-1217
"2011-12-07",-1889
"2011-12-08",2617
"2011-12-09",298
"2011-12-10",-430
"2011-12-11",-447
"2011-12-12",567
"2011-12-13",213
"2011-12-14",217
"2011-12-15",-31
"2011-12-16",-132
"2011-12-17",-838
"2011-12-18",-308
"2011-12-19",972
"2011-12-20",347
"2011-12-21",-1090
"2011-12-22",408
"2011-12-23",-859
"2011-12-24",-1198
"2011-12-25",-257
"2011-12-26",563
"2011-12-27",-155
"2011-12-28",1140
"2011-12-29",121
"2011-12-30",576
"2011-12-31",-514
"2012-01-01",-191
"2012-01-02",-343
"2012-01-03",285
"2012-01-04",132
"2012-01-05",904
"2012-01-06",826
"2012-01-07",423
"2012-01-08",-1096
"2012-01-09",-1049
"2012-01-10",1222
"2012-01-11",-1421
"2012-01-12",1920
"2012-01-13",-883
"2012-01-14",-721
"2012-01-15",-182
"2012-01-16",-13
"2012-01-17",637
"2012-01-18",441
"2012-01-19",-84
"2012-01-20",-129
"2012-01-21",-1862
"2012-01-22",676
"2012-01-23",455
"2012-01-24",1907
"2012-01-25",-69
"2012-01-26",-195
"2012-01-27",-619
"2012-01-28",567
"2012-01-29",-780
"2012-01-30",381
"2012-01-31",885
"2012-02-01",70
"2012-02-02",-818
"2012-02-03",390
"2012-02-04",-1319
"2012-02-05",115
"2012-02-06",837
"2012-02-07",591
"2012-02-08",-1573
"2012-02-09",1028
"2012-02-10",1
"2012-02-11",-1662
"2012-02-12",-640
"2012-02-13",1893
"2012-02-14",500
"2012-02-15",247
"2012-02-16",-1164
"2012-02-17",1149
"2012-02-18",164
"2012-02-19",-1629
"2012-02-20",440
"2012-02-21",648
"2012-02-22",996
"2012-02-23",289
"2012-02-24",-1575
"2012-02-25",-755
"2012-02-26",657
"2012-02-27",933
"2012-02-28",41
"2012-02-29",-2529
"2012-03-01",3156
"2012-03-02",-1796
"2012-03-03",872
"2012-03-04",-643
"2012-03-05",-90
"2012-03-06",623
"2012-03-07",960
"2012-03-08",466
"2012-03-09",-813
"2012-03-10",-451
"2012-03-11",793
"2012-03-12",387
"2012-03-13",549
"2012-03-14",465
"2012-03-15",-120
"2012-03-16",-1814
"2012-03-17",3458
"2012-03-18",-1944
"2012-03-19",261
"2012-03-20",-60
"2012-03-21",137
"2012-03-22",641
"2012-03-23",1491
"2012-03-24",-4990
"2012-03-25",1624
"2012-03-26",562
"2012-03-27",-456
