"time_index","target"
"2010-01-02",12
"2010-01-03",3
"2010-01-04",-22
"2010-01-05",4
"2010-01-06",-11
"2010-01-07",17
"2010-01-08",-7
"2010-01-09",-14
"2010-01-10",14
"2010-01-11",3
"2010-01-12",29
"2010-01-13",-13
"2010-01-14",0
"2010-01-15",-2
"2010-01-16",2
"2010-01-17",NA
"2010-01-18",NA
"2010-01-19",-1
"2010-01-20",-7
"2010-01-21",8
"2010-01-22",-3
"2010-01-23",-8
"2010-01-24",6
"2010-01-25",NA
"2010-01-26",NA
"2010-01-27",-3
"2010-01-28",-4
"2010-01-29",7
"2010-01-30",-14
"2010-01-31",NA
"2010-02-01",NA
"2010-02-02",11
"2010-02-03",0
"2010-02-04",17
"2010-02-05",-17
"2010-02-06",-8
"2010-02-07",14
"2010-02-08",-4
"2010-02-09",1
"2010-02-10",-3
"2010-02-11",-4
"2010-02-12",11
"2010-02-13",-11
"2010-02-14",11
"2010-02-15",11
"2010-02-16",-18
"2010-02-17",14
"2010-02-18",-14
"2010-02-19",4
"2010-02-20",3
"2010-02-21",6
"2010-02-22",6
"2010-02-23",-5
"2010-02-24",14
"2010-02-25",5
"2010-02-26",-29
"2010-02-27",52
"2010-02-28",-52
"2010-03-01",-1
"2010-03-02",4
"2010-03-03",NA
"2010-03-04",NA
"2010-03-05",13
"2010-03-06",0
"2010-03-07",-18
"2010-03-08",14
"2010-03-09",0
"2010-03-10",-7
"2010-03-11",4
"2010-03-12",3
"2010-03-13",9
"2010-03-14",-9
"2010-03-15",-7
"2010-03-16",NA
"2010-03-17",NA
"2010-03-18",13
"2010-03-19",8
"2010-03-20",-5
"2010-03-21",-15
"2010-03-22",-7
"2010-03-23",6
"2010-03-24",10
"2010-03-25",13
"2010-03-26",-13
"2010-03-27",-18
"2010-03-28",2
"2010-03-29",24
"2010-03-30",-10
"2010-03-31",-3
"2010-04-01",-10
"2010-04-02",12
"2010-04-03",4
"2010-04-04",-3
"2010-04-05",-7
"2010-04-06",-6
"2010-04-07",13
"2010-04-08",0
"2010-04-09",-4
"2010-04-10",-3
"2010-04-11",0
"2010-04-12",7
"2010-04-13",0
"2010-04-14",0
"2010-04-15",5
"2010-04-16",-5
"2010-04-17",-5
"2010-04-18",-11
"2010-04-19",3
"2010-04-20",6
"2010-04-21",NA
"2010-04-22",NA
"2010-04-23",-7
"2010-04-24",NA
"2010-04-25",NA
"2010-04-26",-16
"2010-04-27",5
"2010-04-28",18
"2010-04-29",-7
"2010-04-30",-4
"2010-05-01",4
"2010-05-02",18
"2010-05-03",-7
"2010-05-04",-8
"2010-05-05",-10
"2010-05-06",3
"2010-05-07",NA
"2010-05-08",NA
"2010-05-09",9
"2010-05-10",-27
"2010-05-11",8
"2010-05-12",-1
"2010-05-13",15
"2010-05-14",-14
"2010-05-15",7
"2010-05-16",-7
"2010-05-17",-7
"2010-05-18",2
"2010-05-19",-2
"2010-05-20",10
"2010-05-21",-7
"2010-05-22",-3
"2010-05-23",-7
"2010-05-24",13
"2010-05-25",3
"2010-05-26",-3
"2010-05-27",-6
"2010-05-28",3
"2010-05-29",0
"2010-05-30",7
"2010-05-31",-10
"2010-06-01",4
"2010-06-02",2
"2010-06-03",-6
"2010-06-04",9
"2010-06-05",-9
"2010-06-06",10
"2010-06-07",-16
"2010-06-08",8
"2010-06-09",15
"2010-06-10",NA
"2010-06-11",NA
"2010-06-12",5
"2010-06-13",-7
"2010-06-14",3
"2010-06-15",0
"2010-06-16",0
"2010-06-17",-3
"2010-06-18",-13
"2010-06-19",18
"2010-06-20",-9
"2010-06-21",4
"2010-06-22",-13
"2010-06-23",-1
"2010-06-24",0
"2010-06-25",-4
"2010-06-26",11
"2010-06-27",-9
"2010-06-28",2
"2010-06-29",0
"2010-06-30",1
"2010-07-01",6
"2010-07-02",NA
"2010-07-03",NA
"2010-07-04",-7
"2010-07-05",4
"2010-07-06",-4
"2010-07-07",-3
"2010-07-08",6
"2010-07-09",4
"2010-07-10",-1
"2010-07-11",NA
"2010-07-12",NA
"2010-07-13",0
"2010-07-14",5
"2010-07-15",0
"2010-07-16",8
"2010-07-17",-4
"2010-07-18",-10
"2010-07-19",21
"2010-07-20",-11
"2010-07-21",15
"2010-07-22",1
"2010-07-23",-12
"2010-07-24",0
"2010-07-25",-3
"2010-07-26",3
"2010-07-27",-4
"2010-07-28",-10
"2010-07-29",0
