"time_index","target"
"1998-12-31 21:30:00",27.64
"1998-12-31 22:00:00",26.64
"1998-12-31 22:30:00",25.81
"1998-12-31 23:00:00",19.94
"1998-12-31 23:30:00",19.48
"1999-01-01",15.13
"1999-01-01 00:30:00",14.34
"1999-01-01 01:00:00",14.19
"1999-01-01 01:30:00",14.2
"1999-01-01 02:00:00",12.41
"1999-01-01 02:30:00",8.77
"1999-01-01 03:00:00",8.45
"1999-01-01 03:30:00",9.64
"1999-01-01 04:00:00",11.71
"1999-01-01 04:30:00",8.24
"1999-01-01 05:00:00",8.21
"1999-01-01 05:30:00",11.34
"1999-01-01 06:00:00",11.68
"1999-01-01 06:30:00",12.99
"1999-01-01 07:00:00",14.4
"1999-01-01 07:30:00",14.56
"1999-01-01 08:00:00",15.86
"1999-01-01 08:30:00",16.53
"1999-01-01 09:00:00",14.84
"1999-01-01 09:30:00",14.92
"1999-01-01 10:00:00",14.83
"1999-01-01 10:30:00",14.87
"1999-01-01 11:00:00",14.71
"1999-01-01 11:30:00",14.83
"1999-01-01 12:00:00",14.91
"1999-01-01 12:30:00",15.72
"1999-01-01 13:00:00",16.68
"1999-01-01 13:30:00",16.6
"1999-01-01 14:00:00",17.72
"1999-01-01 14:30:00",16.85
"1999-01-01 15:00:00",16.53
"1999-01-01 15:30:00",16.15
"1999-01-01 16:00:00",16.06
"1999-01-01 16:30:00",16.71
"1999-01-01 17:00:00",16.73
"1999-01-01 17:30:00",17.05
"1999-01-01 18:00:00",15.68
"1999-01-01 18:30:00",17.73
"1999-01-01 19:00:00",15.73
"1999-01-01 19:30:00",17.65
"1999-01-01 20:00:00",16.04
"1999-01-01 20:30:00",22.37
"1999-01-01 21:00:00",16.22
"1999-01-01 21:30:00",13.92
"1999-01-01 22:00:00",12
"1999-01-01 22:30:00",13.46
"1999-01-01 23:00:00",12.42
"1999-01-01 23:30:00",9.2
"1999-01-02",8.18
"1999-01-02 00:30:00",10.35
"1999-01-02 01:00:00",8.09
"1999-01-02 01:30:00",8.35
"1999-01-02 02:00:00",8.09
"1999-01-02 02:30:00",10.09
"1999-01-02 03:00:00",9.47
"1999-01-02 03:30:00",12.3
"1999-01-02 04:00:00",13.63
"1999-01-02 04:30:00",14.57
"1999-01-02 05:00:00",15.63
"1999-01-02 05:30:00",17.61
"1999-01-02 06:00:00",18.19
"1999-01-02 06:30:00",18.39
"1999-01-02 07:00:00",20.02
"1999-01-02 07:30:00",20.12
"1999-01-02 08:00:00",21.18
"1999-01-02 08:30:00",24.39
"1999-01-02 09:00:00",24.13
"1999-01-02 09:30:00",24.76
"1999-01-02 10:00:00",26.34
"1999-01-02 10:30:00",33.69
"1999-01-02 11:00:00",30.94
"1999-01-02 11:30:00",25.71
"1999-01-02 12:00:00",28.59
"1999-01-02 12:30:00",31.05
"1999-01-02 13:00:00",31.73
"1999-01-02 13:30:00",29.06
"1999-01-02 14:00:00",40.17
"1999-01-02 14:30:00",30.57
"1999-01-02 15:00:00",29.85
"1999-01-02 15:30:00",24.62
"1999-01-02 16:00:00",23.46
"1999-01-02 16:30:00",25.27
"1999-01-02 17:00:00",29.52
"1999-01-02 17:30:00",29.67
"1999-01-02 18:00:00",25.83
"1999-01-02 18:30:00",22.91
"1999-01-02 19:00:00",19.69
"1999-01-02 19:30:00",18.03
"1999-01-02 20:00:00",16.68
"1999-01-02 20:30:00",22.23
"1999-01-02 21:00:00",16.51
"1999-01-02 21:30:00",17.59
"1999-01-02 22:00:00",15.42
"1999-01-02 22:30:00",19.21
"1999-01-02 23:00:00",14.97
"1999-01-02 23:30:00",14.43
"1999-01-03",14.27
"1999-01-03 00:30:00",13.33
"1999-01-03 01:00:00",12.12
"1999-01-03 01:30:00",13.15
"1999-01-03 02:00:00",12.01
"1999-01-03 02:30:00",12.57
"1999-01-03 03:00:00",12.2
"1999-01-03 03:30:00",12.44
"1999-01-03 04:00:00",14.25
