dataset_id,workflow,model_family,strategy,iteration,sera
DS10,mc.BDES,BDES,baseline,1,607.6589367266341
DS10,mc.BDES,BDES,baseline,2,605.6628022731963
DS10,mc.BDES,BDES,baseline,3,609.6889928181984
DS10,mc.BDES,BDES,baseline,4,619.1654973968025
DS10,mc.BDES,BDES,baseline,5,620.7237485712086
DS10,mc.BDES,BDES,baseline,6,681.280068085749
DS10,mc.BDES,BDES,baseline,7,686.5544186471069
DS10,mc.BDES,BDES,baseline,8,705.0014944091185
DS10,mc.BDES,BDES,baseline,9,716.1091888226674
DS10,mc.BDES,BDES,baseline,10,710.5420924535192
DS10,mc.BDES,BDES,baseline,11,708.3613352780159
DS10,mc.BDES,BDES,baseline,12,703.2751352906564
DS10,mc.BDES,BDES,baseline,13,705.7950191729052
DS10,mc.BDES,BDES,baseline,14,705.6140382974536
DS10,mc.BDES,BDES,baseline,15,718.2634198650128
DS10,mc.BDES,BDES,baseline,16,723.9871577351532
DS10,mc.BDES,BDES,baseline,17,712.2255531611529
DS10,mc.BDES,BDES,baseline,18,719.5440166167663
DS10,mc.BDES,BDES,baseline,19,727.18283554406
DS10,mc.BDES,BDES,baseline,20,717.3983789438097
DS10,mc.BDES,BDES,baseline,21,697.2333272290679
DS10,mc.BDES,BDES,baseline,22,685.29365223236
DS10,mc.BDES,BDES,baseline,23,685.6216464374469
DS10,mc.BDES,BDES,baseline,24,658.4659932075112
DS10,mc.BDES,BDES,baseline,25,683.3556853607345
DS10,mc.BDES,BDES,baseline,26,680.5811978114375
DS10,mc.BDES,BDES,baseline,27,725.4344006206023
DS10,mc.BDES,BDES,baseline,28,682.8367974333079
DS10,mc.BDES,BDES,baseline,29,689.7024746334546
DS10,mc.BDES,BDES,baseline,30,690.3391748357091
DS10,mc.BDES,BDES,baseline,31,690.6131475845733
DS10,mc.BDES,BDES,baseline,32,696.5149493795867
DS10,mc.BDES,BDES,baseline,33,678.8907730163776
DS10,mc.BDES,BDES,baseline,34,701.0340604221228
DS10,mc.BDES,BDES,baseline,35,696.9770962495952
DS10,mc.BDES,BDES,baseline,36,707.607394650794
DS10,mc.BDES,BDES,baseline,37,679.9325283414553
DS10,mc.BDES,BDES,baseline,38,699.560236460936
DS10,mc.BDES,BDES,baseline,39,650.6902001031569
DS10,mc.BDES,BDES,baseline,40,650.5667440432442
DS10,mc.BDES,BDES,baseline,41,618.4229632303441
DS10,mc.BDES,BDES,baseline,42,615.8845431169002
DS10,mc.BDES,BDES,baseline,43,625.2108133466508
DS10,mc.BDES,BDES,baseline,44,679.481124611269
DS10,mc.BDES,BDES,baseline,45,653.7118262613632
DS10,mc.BDES,BDES,baseline,46,650.7241286007081
DS10,mc.BDES,BDES,baseline,47,645.7178284703263
DS10,mc.BDES,BDES,baseline,48,643.1517580091868
DS10,mc.BDES,BDES,baseline,49,628.4808203178884
DS10,mc.BDES,BDES,baseline,50,632.168648156048
DS10,mc.arima,arima,baseline,1,535.2848334139358
DS10,mc.arima,arima,baseline,2,553.010601742941
DS10,mc.arima,arima,baseline,3,560.1711282395145
DS10,mc.arima,arima,baseline,4,560.3647042898136
DS10,mc.arima,arima,baseline,5,567.3760759983074
DS10,mc.arima,arima,baseline,6,611.1102556697668
DS10,mc.arima,arima,baseline,7,600.0635576745324
DS10,mc.arima,arima,baseline,8,627.8614427067563
DS10,mc.arima,arima,baseline,9,626.138038435951
DS10,mc.arima,arima,baseline,10,626.6386538836998
DS10,mc.arima,arima,baseline,11,622.1543576107695
DS10,mc.arima,arima,baseline,12,619.278639737187
DS10,mc.arima,arima,baseline,13,614.1739442167412
DS10,mc.arima,arima,baseline,14,618.7168272491697
DS10,mc.arima,arima,baseline,15,623.6167333572428
DS10,mc.arima,arima,baseline,16,621.2649925608195
DS10,mc.arima,arima,baseline,17,616.2586151311175
DS10,mc.arima,arima,baseline,18,628.7093285642047
DS10,mc.arima,arima,baseline,19,609.6674928278416
DS10,mc.arima,arima,baseline,20,611.5826136788148
DS10,mc.arima,arima,baseline,21,587.542592262856
DS10,mc.arima,arima,baseline,22,581.678052108315
DS10,mc.arima,arima,baseline,23,575.389582775075
DS10,mc.arima,arima,baseline,24,549.2235292494126
DS10,mc.arima,arima,baseline,25,585.7240176149791
DS10,mc.arima,arima,baseline,26,589.8684995921117
DS10,mc.arima,arima,baseline,27,645.5332776881704
DS10,mc.arima,arima,baseline,28,616.0990177184018
DS10,mc.arima,arima,baseline,29,617.953819119077
DS10,mc.arima,arima,baseline,30,626.727151988089
DS10,mc.arima,arima,baseline,31,629.3994216407731
DS10,mc.arima,arima,baseline,32,626.4568937680579
DS10,mc.arima,arima,baseline,33,613.8908925431988
DS10,mc.arima,arima,baseline,34,620.8278596093169
DS10,mc.arima,arima,baseline,35,622.7534945526181
DS10,mc.arima,arima,baseline,36,634.8677849065855
DS10,mc.arima,arima,baseline,37,628.3831333024946
DS10,mc.arima,arima,baseline,38,628.1337721645027
DS10,mc.arima,arima,baseline,39,598.5476970864325
DS10,mc.arima,arima,baseline,40,597.0759066316278
DS10,mc.arima,arima,baseline,41,577.8913448131173
DS10,mc.arima,arima,baseline,42,579.3753530830364
DS10,mc.arima,arima,baseline,43,568.9920755843204
DS10,mc.arima,arima,baseline,44,613.2685878767736
DS10,mc.arima,arima,baseline,45,582.6988435766073
DS10,mc.arima,arima,baseline,46,577.6508723832127
DS10,mc.arima,arima,baseline,47,584.999759998339
DS10,mc.arima,arima,baseline,48,580.5457113445505
DS10,mc.arima,arima,baseline,49,574.5313689361658
DS10,mc.arima,arima,baseline,50,576.7336680014062
DS10,mc.lm_OVERB,lm,OVERB,1,217.6101934705009
DS10,mc.lm_OVERB,lm,OVERB,2,215.39090185342582
DS10,mc.lm_OVERB,lm,OVERB,3,225.39301281118009
DS10,mc.lm_OVERB,lm,OVERB,4,218.84374304549334
DS10,mc.lm_OVERB,lm,OVERB,5,224.55306885376206
DS10,mc.lm_OVERB,lm,OVERB,6,236.30050236762224
DS10,mc.lm_OVERB,lm,OVERB,7,241.21567423493556
DS10,mc.lm_OVERB,lm,OVERB,8,240.76568714995247
DS10,mc.lm_OVERB,lm,OVERB,9,240.7876086850776
DS10,mc.lm_OVERB,lm,OVERB,10,242.45462609958554
DS10,mc.lm_OVERB,lm,OVERB,11,228.0774355726096
DS10,mc.lm_OVERB,lm,OVERB,12,241.20061862283373
DS10,mc.lm_OVERB,lm,OVERB,13,245.18371062743682
DS10,mc.lm_OVERB,lm,OVERB,14,230.39072196233684
DS10,mc.lm_OVERB,lm,OVERB,15,233.43965735808757
DS10,mc.lm_OVERB,lm,OVERB,16,231.69935834385026
DS10,mc.lm_OVERB,lm,OVERB,17,215.896979795393
DS10,mc.lm_OVERB,lm,OVERB,18,233.18773103298653
DS10,mc.lm_OVERB,lm,OVERB,19,228.8220637105966
DS10,mc.lm_OVERB,lm,OVERB,20,224.69064430097188
DS10,mc.lm_OVERB,lm,OVERB,21,224.0177516877025
DS10,mc.lm_OVERB,lm,OVERB,22,227.81087036500688
DS10,mc.lm_OVERB,lm,OVERB,23,226.8988944991591
DS10,mc.lm_OVERB,lm,OVERB,24,219.2603452647982
DS10,mc.lm_OVERB,lm,OVERB,25,239.53002712149166
DS10,mc.lm_OVERB,lm,OVERB,26,249.37715321818777
DS10,mc.lm_OVERB,lm,OVERB,27,254.02687864575424
DS10,mc.lm_OVERB,lm,OVERB,28,269.91345407142137
DS10,mc.lm_OVERB,lm,OVERB,29,264.09079709252717
DS10,mc.lm_OVERB,lm,OVERB,30,269.4570106222
DS10,mc.lm_OVERB,lm,OVERB,31,274.5056065071228
DS10,mc.lm_OVERB,lm,OVERB,32,266.6014630215735
DS10,mc.lm_OVERB,lm,OVERB,33,260.7518508830044
DS10,mc.lm_OVERB,lm,OVERB,34,259.61156274654235
DS10,mc.lm_OVERB,lm,OVERB,35,265.1676938645906
DS10,mc.lm_OVERB,lm,OVERB,36,257.69909455899443
DS10,mc.lm_OVERB,lm,OVERB,37,267.0358933880425
DS10,mc.lm_OVERB,lm,OVERB,38,283.1859079818249
DS10,mc.lm_OVERB,lm,OVERB,39,239.29752871356862
DS10,mc.lm_OVERB,lm,OVERB,40,252.91635923464295
DS10,mc.lm_OVERB,lm,OVERB,41,252.42159592148917
DS10,mc.lm_OVERB,lm,OVERB,42,257.9749758405019
DS10,mc.lm_OVERB,lm,OVERB,43,252.0291926633853
DS10,mc.lm_OVERB,lm,OVERB,44,242.3082174395221
DS10,mc.lm_OVERB,lm,OVERB,45,254.73998175853717
DS10,mc.lm_OVERB,lm,OVERB,46,253.1246988639414
DS10,mc.lm_OVERB,lm,OVERB,47,325.03373604935194
DS10,mc.lm_OVERB,lm,OVERB,48,317.9351164667703
DS10,mc.lm_OVERB,lm,OVERB,49,322.8879618762153
DS10,mc.lm_OVERB,lm,OVERB,50,321.80156112851944
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,1,208.10702807387304
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,2,235.31372542712842
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,3,231.13450156959163
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,4,213.09508211949964
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,5,242.28355412110048
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,6,248.0068286869228
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,7,288.0072900498795
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,8,294.17097739838175
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,9,273.6055531987937
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,10,288.1669841552354
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,11,292.1798223869348
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,12,294.2549829209706
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,13,278.2573099477181
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,14,288.87512691816687
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,15,272.0889659172291
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,16,280.6579344901642
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,17,288.41520211972306
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,18,283.67472024918527
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,19,281.98763619692
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,20,278.6353283430991
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,21,295.0932925499867
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,22,284.5872968745019
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,23,285.8526527293187
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,24,293.33589856557234
DS10,mc.lm_OVERTPhi,lm,OVERTPhi,25,335.15600986229254
