"iteration","point_index","ctrl_x","ctrl_phi","ctrl_deriv"
1,1,-114,1,0
1,2,-4,0,0
1,3,105,1,0
2,1,-116,1,0
2,2,-4,0,0
2,3,108,1,0
3,1,-118,1,0
3,2,-4,0,0
3,3,109,1,0
4,1,-118,1,0
4,2,-4,0,0
4,3,109,1,0
5,1,-118,1,0
5,2,-4,0,0
5,3,109,1,0
6,1,-120,1,0
6,2,-4,0,0
6,3,112,1,0
7,1,-120,1,0
7,2,-4,0,0
7,3,112,1,0
8,1,-120,1,0
8,2,-4,0,0
8,3,112,1,0
9,1,-120,1,0
9,2,-4,0,0
9,3,112,1,0
10,1,-120,1,0
10,2,-4,0,0
10,3,112,1,0
11,1,-124,1,0
11,2,-4,0,0
11,3,116,1,0
12,1,-124,1,0
12,2,-4,0,0
12,3,116,1,0
13,1,-124,1,0
13,2,-4,0,0
13,3,116,1,0
14,1,-124,1,0
14,2,-4,0,0
14,3,116,1,0
15,1,-124,1,0
15,2,-4,0,0
15,3,116,1,0
16,1,-124,1,0
16,2,-4,0,0
16,3,116,1,0
17,1,-125,1,0
17,2,-4,0,0
17,3,116,1,0
18,1,-128,1,0
18,2,-4,0,0
18,3,120,1,0
19,1,-128,1,0
19,2,-4,0,0
19,3,120,1,0
20,1,-128,1,0
20,2,-4,0,0
20,3,120,1,0
21,1,-132,1,0
21,2,-4,0,0
21,3,124,1,0
22,1,-133,1,0
22,2,-4,0,0
22,3,126,1,0
23,1,-136,1,0
23,2,-4,0,0
23,3,128,1,0
24,1,-136,1,0
24,2,-4,0,0
24,3,128,1,0
25,1,-140,1,0
25,2,-4,0,0
25,3,132,1,0
26,1,-140,1,0
26,2,-4,0,0
26,3,132,1,0
27,1,-142,1,0
27,2,-4,0,0
27,3,133,1,0
28,1,-143,1,0
28,2,-4,0,0
28,3,134,1,0
29,1,-142,1,0
29,2,-4,0,0
29,3,133,1,0
30,1,-142,1,0
30,2,-4,0,0
30,3,133,1,0
31,1,-142,1,0
31,2,-4,0,0
31,3,133,1,0
32,1,-142,1,0
32,2,-4,0,0
32,3,133,1,0
33,1,-143,1,0
33,2,-4,0,0
33,3,134,1,0
34,1,-144,1,0
34,2,-4,0,0
34,3,136,1,0
35,1,-144,1,0
35,2,-4,0,0
35,3,136,1,0
36,1,-144,1,0
36,2,-4,0,0
36,3,136,1,0
37,1,-146,1,0
37,2,-4,0,0
37,3,137,1,0
38,1,-146,1,0
38,2,-4,0,0
38,3,137,1,0
39,1,-146,1,0
39,2,-4,0,0
39,3,137,1,0
40,1,-146,1,0
40,2,-4,0,0
40,3,137,1,0
41,1,-146,1,0
41,2,-4,0,0
41,3,137,1,0
42,1,-148,1,0
42,2,-4,0,0
42,3,140,1,0
43,1,-148,1,0
43,2,-4,0,0
43,3,140,1,0
44,1,-148,1,0
44,2,-4,0,0
44,3,140,1,0
45,1,-150,1,0
45,2,-4,0,0
45,3,141,1,0
46,1,-150,1,0
46,2,-4,0,0
46,3,141,1,0
47,1,-150,1,0
47,2,-4,0,0
47,3,141,1,0
48,1,-150,1,0
48,2,-4,0,0
48,3,141,1,0
49,1,-150,1,0
49,2,-4,0,0
49,3,141,1,0
50,1,-150,1,0
50,2,-4.5,0,0
50,3,141,1,0
