metric,strategy,model_family,tau,p_value,p_holm
F1,OVERB,pooled,0.18505532121154847,9.999000099990002e-05,0.0008999100089991002
F1,OVERT,pooled,0.18190308716266432,9.999000099990002e-05,0.0008999100089991002
F1,OVERTPhi,pooled,0.18173368379267732,9.999000099990002e-05,0.0008999100089991002
F1,SMOTEB,pooled,0.2205120548534027,9.999000099990002e-05,0.0008999100089991002
F1,SMOTET,pooled,0.21547844781070744,9.999000099990002e-05,0.0008999100089991002
F1,SMOTETPhi,pooled,0.21768653004150923,9.999000099990002e-05,0.0008999100089991002
F1,UNDERB,pooled,0.18053224989600206,9.999000099990002e-05,0.0008999100089991002
F1,UNDERT,pooled,0.18393928703386245,9.999000099990002e-05,0.0008999100089991002
F1,UNDERTPhi,pooled,0.18991396050122447,9.999000099990002e-05,0.0008999100089991002
F1,OVERB,lm,0.30518086302793435,9.999000099990002e-05,
F1,OVERT,lm,0.306739454543404,9.999000099990002e-05,
F1,OVERTPhi,lm,0.30741898814868907,9.999000099990002e-05,
F1,SMOTEB,lm,0.3180605222873042,9.999000099990002e-05,
F1,SMOTET,lm,0.3139964322054306,9.999000099990002e-05,
F1,SMOTETPhi,lm,0.3105384627811275,9.999000099990002e-05,
F1,UNDERB,lm,0.3063324511357507,9.999000099990002e-05,
F1,UNDERT,lm,0.31257921453097587,9.999000099990002e-05,
F1,UNDERTPhi,lm,0.3144577172321849,9.999000099990002e-05,
F1,OVERB,svm,0.3203546641397491,9.999000099990002e-05,
F1,OVERT,svm,0.3237695324305639,9.999000099990002e-05,
F1,OVERTPhi,svm,0.3215862592826962,9.999000099990002e-05,
F1,SMOTEB,svm,0.32857832063229614,9.999000099990002e-05,
F1,SMOTET,svm,0.32276090591379947,9.999000099990002e-05,
F1,SMOTETPhi,svm,0.3214803423071742,9.999000099990002e-05,
F1,UNDERB,svm,0.326138421124485,9.999000099990002e-05,
F1,UNDERT,svm,0.32770066603312703,9.999000099990002e-05,
F1,UNDERTPhi,svm,0.33349352679772915,9.999000099990002e-05,
F1,OVERB,mars,0.16224428104044536,9.999000099990002e-05,
F1,OVERT,mars,0.16049825033257986,9.999000099990002e-05,
F1,OVERTPhi,mars,0.15901979846871866,9.999000099990002e-05,
F1,SMOTEB,mars,0.16208848885693392,9.999000099990002e-05,
F1,SMOTET,mars,0.1567606778568137,9.999000099990002e-05,
F1,SMOTETPhi,mars,0.16009008115565496,9.999000099990002e-05,
F1,UNDERB,mars,0.07619827163257713,0.0030996900309969004,
F1,UNDERT,mars,0.08412541889928851,0.0011998800119988001,
F1,UNDERTPhi,mars,0.09057011024978262,0.0008999100089991,
F1,OVERB,rf,0.11797947166006781,0.0023997600239976003,
F1,OVERT,rf,0.097306405718986,0.013298670132986702,
F1,OVERTPhi,rf,0.09956213844588374,0.010698930106989302,
F1,SMOTEB,rf,0.27293969476793667,9.999000099990002e-05,
F1,SMOTET,rf,0.26744901246236635,9.999000099990002e-05,
F1,SMOTETPhi,rf,0.2751965884039465,9.999000099990002e-05,
F1,UNDERB,rf,0.1715488504355344,9.999000099990002e-05,
F1,UNDERT,rf,0.17298189163723432,9.999000099990002e-05,
F1,UNDERTPhi,rf,0.18516128086621217,9.999000099990002e-05,
F1,OVERB,rpart,0.01951732618954563,0.0011998800119988001,
F1,OVERT,rpart,0.021201792787787895,0.0005999400059994001,
