workflow,model_family,strategy,tr.time,pr.time,tot.time
mc.lm,lm,baseline,0.0005999999999971,0.0001000000000033,0.0007000000000005
mc.lm_UNDERB,lm,UNDERB,0.0003000000000042,0.0002000000000066,0.0005000000000109
mc.lm_UNDERT,lm,UNDERT,0.0005999999999971,0.0,0.0005999999999971
mc.lm_UNDERTPhi,lm,UNDERTPhi,0.0006999999999891,0.0002999999999985,0.0009999999999877
mc.lm_OVERB,lm,OVERB,0.0004000000000019,0.0002000000000009,0.0006000000000028
mc.lm_OVERT,lm,OVERT,0.0004999999999881,0.0,0.0004999999999881
mc.lm_OVERTPhi,lm,OVERTPhi,0.0004000000000019,0.0001000000000033,0.0005000000000052
mc.lm_SMOTEB,lm,SMOTEB,0.0003000000000042,0.0002999999999985,0.0006000000000028
mc.lm_SMOTET,lm,SMOTET,0.0002000000000009,0.0003999999999905,0.0005999999999914
mc.lm_SMOTETPhi,lm,SMOTETPhi,0.0002999999999985,0.0004000000000019,0.0007000000000005
mc.svm,svm,baseline,0.0044999999999902,0.0006000000000028,0.005099999999993
mc.svm_UNDERB,svm,UNDERB,0.0008000000000265,0.0002999999999985,0.0011000000000251
mc.svm_UNDERT,svm,UNDERT,0.0009000000000071,0.0004000000000019,0.001300000000009
mc.svm_UNDERTPhi,svm,UNDERTPhi,0.0008000000000038,0.0004999999999995,0.0013000000000033
mc.svm_OVERB,svm,OVERB,0.0135999999999967,0.0009000000000071,0.0145000000000039
mc.svm_OVERT,svm,OVERT,0.0131999999999891,0.0010000000000047,0.0141999999999939
mc.svm_OVERTPhi,svm,OVERTPhi,0.0133000000000038,0.00089999999999,0.0141999999999939
mc.svm_SMOTEB,svm,SMOTEB,0.0046999999999854,0.0006000000000085,0.005299999999994
mc.svm_SMOTET,svm,SMOTET,0.005299999999994,0.0007999999999981,0.0060999999999921
mc.svm_SMOTETPhi,svm,SMOTETPhi,0.0163000000000068,0.0004999999999995,0.0168000000000063
mc.mars,mars,baseline,0.0047999999999945,0.0006000000000085,0.005400000000003
mc.mars_UNDERB,mars,UNDERB,0.0024000000000057,0.0,0.0024000000000057
mc.mars_UNDERT,mars,UNDERT,0.0020000000000038,0.0,0.0020000000000038
mc.mars_UNDERTPhi,mars,UNDERTPhi,0.0022000000000048,0.0002000000000009,0.0024000000000057
mc.mars_OVERB,mars,OVERB,0.006899999999996,0.0003999999999962,0.0072999999999922
mc.mars_OVERT,mars,OVERT,0.0074999999999931,0.0005999999999971,0.0080999999999903
mc.mars_OVERTPhi,mars,OVERTPhi,0.0088999999999941,0.0003999999999962,0.0092999999999904
mc.mars_SMOTEB,mars,SMOTEB,0.0048000000000058,0.0002999999999929,0.0050999999999987
mc.mars_SMOTET,mars,SMOTET,0.0048000000000001,0.0003999999999962,0.0051999999999964
mc.mars_SMOTETPhi,mars,SMOTETPhi,0.0047000000000025,0.0002999999999929,0.0049999999999954
mc.rf,rf,baseline,0.386400000000003,0.0067000000000007,0.393100000000004
mc.rf_UNDERB,rf,UNDERB,0.0476000000000056,0.0039000000000101,0.0515000000000157
mc.rf_UNDERT,rf,UNDERT,0.0473999999999933,0.0033999999999991,0.0507999999999924
mc.rf_UNDERTPhi,rf,UNDERTPhi,0.045700000000005,0.0032999999999844,0.0489999999999895
mc.rf_OVERB,rf,OVERB,0.6281,0.007000000000005,0.635100000000006
mc.rf_OVERT,rf,OVERT,0.606699999999995,0.0182000000000073,0.624900000000002
mc.rf_OVERTPhi,rf,OVERTPhi,0.629099999999994,0.0070000000000106,0.636100000000005
mc.rf_SMOTEB,rf,SMOTEB,0.3257,0.0063000000000045,0.332000000000005
mc.rf_SMOTET,rf,SMOTET,0.332400000000013,0.0054999999999836,0.337899999999996
mc.rf_SMOTETPhi,rf,SMOTETPhi,0.323100000000005,0.005299999999994,0.328399999999999
mc.rpart,rpart,baseline,0.0044000000000096,0.0002999999999985,0.0047000000000082
mc.rpart_UNDERB,rpart,UNDERB,0.0012000000000284,0.0001999999999952,0.0014000000000237
mc.rpart_UNDERT,rpart,UNDERT,0.0010000000000047,0.0002000000000009,0.0012000000000057
mc.rpart_UNDERTPhi,rpart,UNDERTPhi,0.0010000000000047,0.0,0.0010000000000047
mc.rpart_OVERB,rpart,OVERB,0.0064000000000078,0.0003999999999962,0.006800000000004
mc.rpart_OVERT,rpart,OVERT,0.0068999999999846,0.0001000000000033,0.0069999999999879
mc.rpart_OVERTPhi,rpart,OVERTPhi,0.0065999999999917,9.99999999976353e-05,0.0066999999999893
mc.rpart_SMOTEB,rpart,SMOTEB,0.0031999999999982,0.000799999999981,0.0039999999999793
mc.rpart_SMOTET,rpart,SMOTET,0.0035999999999774,0.0002999999999985,0.0038999999999759
mc.rpart_SMOTETPhi,rpart,SMOTETPhi,0.0035000000000081,0.0002999999999985,0.0038000000000067
mc.arima,arima,baseline,0.0560000000000059,0.0005999999999971,0.0566000000000031
mc.BDES,BDES,baseline,1.21800000000001,0.103799999999984,1.32179999999999
