ds,mc.BDES,mc.arima,mc.lm,mc.lm_OVERB,mc.lm_OVERT,mc.lm_OVERTPhi,mc.lm_SMOTEB,mc.lm_SMOTET,mc.lm_SMOTETPhi,mc.lm_UNDERB,mc.lm_UNDERT,mc.lm_UNDERTPhi,mc.mars,mc.mars_OVERB,mc.mars_OVERT,mc.mars_OVERTPhi,mc.mars_SMOTEB,mc.mars_SMOTET,mc.mars_SMOTETPhi,mc.mars_UNDERB,mc.mars_UNDERT,mc.mars_UNDERTPhi,mc.rf,mc.rf_OVERB,mc.rf_OVERT,mc.rf_OVERTPhi,mc.rf_SMOTEB,mc.rf_SMOTET,mc.rf_SMOTETPhi,mc.rf_UNDERB,mc.rf_UNDERT,mc.rf_UNDERTPhi,mc.rpart,mc.rpart_OVERB,mc.rpart_OVERT,mc.rpart_OVERTPhi,mc.rpart_SMOTEB,mc.rpart_SMOTET,mc.rpart_SMOTETPhi,mc.rpart_UNDERB,mc.rpart_UNDERT,mc.rpart_UNDERTPhi,mc.svm,mc.svm_OVERB,mc.svm_OVERT,mc.svm_OVERTPhi,mc.svm_SMOTEB,mc.svm_SMOTET,mc.svm_SMOTETPhi,mc.svm_UNDERB,mc.svm_UNDERT,mc.svm_UNDERTPhi
1,0.0000,0.0000,0.0000,0.5348,0.5449,0.5428,0.5178,0.5077,0.5104,0.5338,0.5291,0.5264,0.2308,0.5147,0.5094,0.5091,0.4951,0.5184,0.5115,0.4891,0.4894,0.5155,0.0062,0.2012,0.1724,0.1918,0.4718,0.4921,0.4973,0.2747,0.2155,0.3397,0.4321,0.4566,0.4481,0.4503,0.4673,0.4650,0.4675,0.4707,0.4673,0.4600,0.4135,0.4508,0.4463,0.4518,0.4392,0.4464,0.4556,0.4494,0.4622,0.4712
2,0.0000,0.0000,0.0000,0.6012,0.5868,0.5880,0.5711,0.5585,0.5603,0.5912,0.5903,0.5910,0.1266,0.4998,0.5011,0.5091,0.4891,0.4940,0.5006,0.5173,0.5082,0.4881,0.0000,0.2374,0.1878,0.1614,0.4888,0.5035,0.5056,0.2914,0.3197,0.3373,0.4588,0.4180,0.4343,0.4395,0.4409,0.4549,0.4510,0.4423,0.4309,0.4371,0.1995,0.5041,0.4816,0.4828,0.4772,0.4971,0.4954,0.4780,0.4781,0.4969
3,0.0000,0.1499,0.1000,0.6317,0.6484,0.6465,0.5976,0.5750,0.5761,0.6054,0.6068,0.6018,0.0937,0.5758,0.5609,0.5675,0.5618,0.5477,0.5593,0.5189,0.5341,0.5338,0.0000,0.3081,0.1960,0.1679,0.5077,0.4777,0.4811,0.4154,0.3862,0.4294,0.5153,0.4708,0.4459,0.4658,0.4840,0.4612,0.4682,0.4986,0.4822,0.5036,0.5223,0.5195,0.5249,0.5278,0.4955,0.5104,0.4886,0.5017,0.4937,0.4900
4,0.6273,0.5679,0.5767,0.5625,0.5555,0.5567,0.5414,0.5535,0.5420,0.5509,0.5510,0.5359,0.5124,0.4851,0.5063,0.5021,0.4911,0.5015,0.4969,0.4599,0.4630,0.4590,0.5630,0.5672,0.5666,0.5667,0.5522,0.5600,0.5479,0.5502,0.5560,0.5524,0.5329,0.5928,0.5852,0.5881,0.5749,0.5615,0.5667,0.5629,0.5752,0.5641,0.5496,0.4429,0.4364,0.4343,0.4216,0.4484,0.4352,0.4471,0.4600,0.4534
5,0.2563,0.0705,0.3447,0.4811,0.4780,0.4777,0.4950,0.4917,0.4923,0.4870,0.4868,0.4918,0.4114,0.4965,0.4877,0.4970,0.5020,0.5099,0.5068,0.5139,0.5130,0.5156,0.4182,0.4524,0.4524,0.4545,0.5196,0.5037,0.5082,0.5536,0.5537,0.5521,0.3913,0.5377,0.5321,0.5305,0.5207,0.5062,0.5087,0.5191,0.5183,0.5185,0.4025,0.5246,0.5142,0.5134,0.5173,0.5137,0.5140,0.5251,0.5235,0.5270
6,0.0000,0.0000,0.0000,0.4318,0.4337,0.4356,0.4479,0.4478,0.4490,0.4319,0.4310,0.4369,0.2122,0.4457,0.4403,0.4417,0.4611,0.4517,0.4558,0.4448,0.4431,0.4484,0.1107,0.3935,0.3707,0.3762,0.4741,0.4610,0.4672,0.4833,0.4823,0.4856,0.3824,0.4385,0.4323,0.4352,0.4562,0.4405,0.4514,0.4297,0.4321,0.4434,0.3483,0.4539,0.4394,0.4406,0.4669,0.4523,0.4560,0.4440,0.4449,0.4655
7,0.0000,0.3964,0.5415,0.5374,0.5369,0.5373,0.5479,0.5529,0.5532,0.5385,0.5383,0.5402,0.4764,0.5348,0.5340,0.5345,0.5467,0.5501,0.5504,0.5352,0.5334,0.5396,0.5075,0.5216,0.5228,0.5212,0.5437,0.5446,0.5524,0.5636,0.5629,0.5701,0.5133,0.5163,0.5087,0.5060,0.5221,0.5023,0.5117,0.5298,0.5276,0.5404,0.4561,0.5061,0.5002,0.4996,0.5104,0.5091,0.5078,0.5143,0.5125,0.5288
8,0.4736,0.5013,0.5026,0.4795,0.4834,0.4828,0.4755,0.4891,0.4809,0.4944,0.4973,0.4981,0.5874,0.6576,0.6515,0.6510,0.6628,0.5864,0.6108,0.6385,0.6433,0.6549,0.6982,0.7113,0.7122,0.7114,0.7205,0.7122,0.7119,0.7154,0.7144,0.7142,0.6428,0.6666,0.6736,0.6727,0.6721,0.6513,0.6485,0.6604,0.6612,0.6553,0.6485,0.6471,0.6578,0.6584,0.6250,0.6187,0.5814,0.6324,0.6345,0.6118
9,0.2957,0.2690,0.2458,0.2434,0.2317,0.2305,0.2406,0.2457,0.2453,0.2352,0.2346,0.2368,0.2700,0.2639,0.2705,0.2638,0.2794,0.2808,0.2888,0.2641,0.2633,0.2826,0.2348,0.2274,0.2292,0.2273,0.2697,0.2805,0.2766,0.2461,0.2468,0.2498,0.3073,0.2627,0.2609,0.2634,0.2958,0.2815,0.2843,0.3040,0.2955,0.2983,0.2906,0.2851,0.2873,0.2922,0.2898,0.2805,0.2779,0.2933,0.2956,0.2812
10,0.0000,0.0000,0.0000,0.6691,0.6705,0.6702,0.6658,0.6476,0.6439,0.6467,0.6497,0.6491,0.1624,0.6072,0.6008,0.6108,0.6119,0.5997,0.6177,0.5146,0.4656,0.6282,0.0000,0.4519,0.6201,0.6133,0.6204,0.6270,0.6406,0.6495,0.6507,0.6483,0.5430,0.5583,0.5576,0.5546,0.5678,0.5680,0.6033,0.6004,0.6014,0.6225,0.5893,0.5926,0.6015,0.6001,0.5913,0.5773,0.6063,0.5795,0.5730,0.6118
