ds,workflow,python_cluster,artigo_fig7,desvio
1,mc.BDES,0.000,0.001,-0.001
1,mc.arima,0.000,0.010,-0.010
1,mc.mars,0.231,0.247,-0.016
1,mc.mars_OVERT,0.509,0.515,-0.005
1,mc.mars_OVERTPhi,0.509,0.510,-0.001
1,mc.mars_SMOTET,0.518,0.501,0.017
1,mc.mars_SMOTETPhi,0.511,0.508,0.003
1,mc.mars_UNDERB,0.489,0.492,-0.003
1,mc.mars_UNDERT,0.489,0.500,-0.011
1,mc.mars_UNDERTPhi,0.515,0.513,0.002
1,mc.rf,0.006,0.016,-0.010
1,mc.rf_OVERB,0.201,0.220,-0.019
1,mc.rf_OVERT,0.172,0.206,-0.034
1,mc.rf_OVERTPhi,0.192,0.183,0.009
1,mc.rf_SMOTEB,0.472,0.479,-0.007
1,mc.rf_SMOTET,0.492,0.496,-0.004
1,mc.rf_SMOTETPhi,0.497,0.499,-0.002
1,mc.rf_UNDERB,0.275,0.285,-0.010
1,mc.rf_UNDERT,0.215,0.300,-0.084
1,mc.rf_UNDERTPhi,0.340,0.409,-0.069
1,mc.rpart,0.432,0.444,-0.012
1,mc.rpart_OVERB,0.457,0.442,0.015
1,mc.rpart_OVERT,0.448,0.445,0.003
1,mc.rpart_OVERTPhi,0.450,0.451,-0.001
1,mc.rpart_SMOTEB,0.467,0.481,-0.013
1,mc.rpart_SMOTET,0.465,0.478,-0.013
1,mc.rpart_SMOTETPhi,0.468,0.474,-0.007
1,mc.rpart_UNDERB,0.471,0.455,0.016
1,mc.rpart_UNDERT,0.467,0.466,0.001
1,mc.rpart_UNDERTPhi,0.460,0.477,-0.017
1,mc.svm,0.413,0.419,-0.005
1,mc.svm_OVERB,0.451,0.451,-0.000
1,mc.svm_OVERT,0.446,0.456,-0.010
1,mc.svm_OVERTPhi,0.452,0.452,-0.001
1,mc.svm_SMOTEB,0.439,0.441,-0.001
1,mc.svm_SMOTET,0.446,0.448,-0.002
1,mc.svm_SMOTETPhi,0.456,0.453,0.003
1,mc.svm_UNDERB,0.449,0.446,0.003
1,mc.svm_UNDERT,0.462,0.457,0.005
1,mc.svm_UNDERTPhi,0.471,0.468,0.003
2,mc.BDES,0.000,0.001,-0.001
2,mc.arima,0.000,0.008,-0.008
2,mc.lm,0.000,0.001,-0.001
2,mc.lm_OVERB,0.601,0.552,0.049
2,mc.lm_OVERT,0.587,0.562,0.025
2,mc.lm_OVERTPhi,0.588,0.557,0.031
2,mc.lm_SMOTEB,0.571,0.531,0.040
2,mc.lm_SMOTET,0.558,0.529,0.029
2,mc.lm_SMOTETPhi,0.560,0.523,0.037
2,mc.lm_UNDERB,0.591,0.552,0.040
2,mc.lm_UNDERT,0.590,0.547,0.043
2,mc.lm_UNDERTPhi,0.591,0.541,0.050
2,mc.mars,0.127,0.131,-0.005
2,mc.mars_OVERB,0.500,0.519,-0.019
2,mc.mars_OVERT,0.501,0.523,-0.022
2,mc.mars_OVERTPhi,0.509,0.530,-0.021
2,mc.mars_SMOTEB,0.489,0.508,-0.019
2,mc.mars_SMOTET,0.494,0.492,0.002
2,mc.mars_SMOTETPhi,0.501,0.488,0.013
2,mc.mars_UNDERB,0.517,0.473,0.044
2,mc.mars_UNDERT,0.508,0.488,0.021
2,mc.mars_UNDERTPhi,0.488,0.469,0.019
2,mc.rf,0.000,0.004,-0.004
2,mc.rf_OVERB,0.237,0.169,0.068
