ds,workflow,model,python_cluster,relatorio,desvio
20,mc.lm,lm,0.0000,0.0000,0.0000
20,mc.lm_UNDERB,lm,0.3641,0.0000,0.3641
20,mc.lm_UNDERT,lm,0.3558,0.2224,0.1334
20,mc.lm_UNDERTPhi,lm,0.3508,0.0000,0.3508
20,mc.lm_OVERB,lm,0.3364,0.3348,0.0016
20,mc.lm_OVERT,lm,0.3082,0.1448,0.1634
20,mc.lm_OVERTPhi,lm,0.3093,0.1389,0.1704
20,mc.lm_SMOTEB,lm,0.3554,0.2860,0.0694
20,mc.lm_SMOTET,lm,0.3590,0.1785,0.1805
20,mc.lm_SMOTETPhi,lm,0.3498,0.4142,-0.0644
20,mc.mars,mars,0.2081,0.1115,0.0966
20,mc.mars_UNDERB,mars,0.0475,0.2432,-0.1957
20,mc.mars_UNDERT,mars,0.0589,0.2468,-0.1879
20,mc.mars_UNDERTPhi,mars,0.0621,0.2449,-0.1828
20,mc.mars_OVERB,mars,0.3551,0.2927,0.0624
20,mc.mars_OVERT,mars,0.3535,0.2802,0.0733
20,mc.mars_OVERTPhi,mars,0.3410,0.2815,0.0595
20,mc.mars_SMOTEB,mars,0.3203,0.3429,-0.0226
20,mc.mars_SMOTET,mars,0.3396,0.3406,-0.0010
20,mc.mars_SMOTETPhi,mars,0.3237,0.3460,-0.0223
20,mc.rf,rf,0.0000,0.0000,0.0000
20,mc.rf_UNDERB,rf,0.0910,0.3534,-0.2624
20,mc.rf_UNDERT,rf,0.0898,0.3556,-0.2658
20,mc.rf_UNDERTPhi,rf,0.1629,0.3517,-0.1888
20,mc.rf_OVERB,rf,0.1015,0.3374,-0.2359
20,mc.rf_OVERT,rf,0.0850,0.3233,-0.2383
20,mc.rf_OVERTPhi,rf,0.0745,0.3206,-0.2461
20,mc.rf_SMOTEB,rf,0.3751,0.3536,0.0215
20,mc.rf_SMOTET,rf,0.3191,0.3653,-0.0462
20,mc.rf_SMOTETPhi,rf,0.3477,0.3599,-0.0122
20,mc.rpart,rpart,0.3490,0.2224,0.1266
20,mc.rpart_UNDERB,rpart,0.3219,0.0536,0.2683
20,mc.rpart_UNDERT,rpart,0.3481,0.0776,0.2705
20,mc.rpart_UNDERTPhi,rpart,0.3486,0.0737,0.2749
20,mc.rpart_OVERB,rpart,0.3689,0.3635,0.0054
20,mc.rpart_OVERT,rpart,0.3655,0.3625,0.0030
20,mc.rpart_OVERTPhi,rpart,0.3606,0.3721,-0.0115
20,mc.rpart_SMOTEB,rpart,0.3419,0.3214,0.0205
20,mc.rpart_SMOTET,rpart,0.3392,0.3377,0.0015
20,mc.rpart_SMOTETPhi,rpart,0.3584,0.3405,0.0179
20,mc.svm,svm,0.1976,0.0000,0.1976
20,mc.svm_UNDERB,svm,0.3137,0.0951,0.2186
20,mc.svm_UNDERT,svm,0.2824,0.1021,0.1803
20,mc.svm_UNDERTPhi,svm,0.3136,0.1489,0.1647
20,mc.svm_OVERB,svm,0.3279,0.0520,0.2759
20,mc.svm_OVERT,svm,0.3166,0.0775,0.2391
20,mc.svm_OVERTPhi,svm,0.3287,0.0685,0.2602
20,mc.svm_SMOTEB,svm,0.3049,0.3783,-0.0734
20,mc.svm_SMOTET,svm,0.3229,0.3356,-0.0127
20,mc.svm_SMOTETPhi,svm,0.3443,0.3741,-0.0298
1,mc.lm,lm,0.0000,0.0000,0.0000
1,mc.lm_UNDERB,lm,0.5338,0.5273,0.0065
1,mc.lm_UNDERT,lm,0.5291,0.5290,0.0001
1,mc.lm_UNDERTPhi,lm,0.5264,0.5229,0.0035
1,mc.lm_OVERB,lm,0.5348,0.5307,0.0041
1,mc.lm_OVERT,lm,0.5449,0.5389,0.0060
1,mc.lm_OVERTPhi,lm,0.5428,0.5394,0.0034
1,mc.lm_SMOTEB,lm,0.5178,0.5079,0.0099
1,mc.lm_SMOTET,lm,0.5077,0.5046,0.0031
1,mc.lm_SMOTETPhi,lm,0.5104,0.5037,0.0067
1,mc.mars,mars,0.2308,0.2678,-0.0370
1,mc.mars_UNDERB,mars,0.4891,0.4883,0.0008
1,mc.mars_UNDERT,mars,0.4894,0.4737,0.0157
1,mc.mars_UNDERTPhi,mars,0.5155,0.4934,0.0221
1,mc.mars_OVERB,mars,0.5147,0.4970,0.0177
1,mc.mars_OVERT,mars,0.5094,0.4976,0.0118
1,mc.mars_OVERTPhi,mars,0.5091,0.5004,0.0087
