ds,mc.svm,mc.arima,mc.BDES,mc.mars,mc.rf,mc.rpart,mc.svm_UNDERB,mc.svm_UNDERT,mc.svm_UNDERTPhi,mc.mars_UNDERB,mc.mars_UNDERT,mc.mars_UNDERTPhi,mc.rf_UNDERB,mc.rf_UNDERT,mc.rf_UNDERTPhi,mc.rpart_UNDERB,mc.rpart_UNDERT,mc.rpart_UNDERTPhi,mc.svm_OVERB,mc.svm_OVERT,mc.svm_OVERTPhi,mc.mars_OVERT,mc.mars_OVERTPhi,mc.rf_OVERB,mc.rf_OVERT,mc.rf_OVERTPhi,mc.rpart_OVERB,mc.rpart_OVERT,mc.rpart_OVERTPhi,mc.svm_SMOTEB,mc.svm_SMOTET,mc.svm_SMOTETPhi,mc.mars_SMOTET,mc.mars_SMOTETPhi,mc.rf_SMOTEB,mc.rf_SMOTET,mc.rf_SMOTETPhi,mc.rpart_SMOTEB,mc.rpart_SMOTET,mc.rpart_SMOTETPhi,mc.lm,mc.lm_UNDERB,mc.lm_UNDERT,mc.lm_UNDERTPhi,mc.lm_OVERB,mc.lm_OVERT,mc.lm_OVERTPhi,mc.mars_OVERB,mc.lm_SMOTEB,mc.lm_SMOTET,mc.lm_SMOTETPhi,mc.mars_SMOTEB
1,0.419,0.010,0.001,0.247,0.016,0.444,0.446,0.457,0.468,0.492,0.500,0.513,0.285,0.300,0.409,0.455,0.466,0.477,0.451,0.456,0.452,0.515,0.510,0.220,0.206,0.183,0.442,0.445,0.451,0.441,0.448,0.453,0.501,0.508,0.479,0.496,0.499,0.481,0.478,0.474,,,,,,,,,,,,
2,0.206,0.008,0.001,0.131,0.004,0.446,0.481,0.489,0.481,0.473,0.488,0.469,0.388,0.362,0.412,0.432,0.437,0.436,0.514,0.506,0.501,0.523,0.530,0.169,0.134,0.157,0.416,0.432,0.422,0.476,0.494,0.492,0.492,0.488,0.475,0.494,0.494,0.457,0.452,0.457,0.001,0.552,0.547,0.541,0.552,0.562,0.557,0.519,0.531,0.529,0.523,0.508
3,0.499,0.048,0.002,0.058,0.037,0.510,0.507,0.498,0.498,0.526,0.523,0.545,0.460,0.416,0.504,0.486,0.488,0.499,0.523,0.532,0.533,0.564,0.560,0.195,0.102,0.127,0.476,0.472,0.458,0.499,0.504,0.485,0.548,0.552,0.527,0.482,0.491,0.491,0.465,0.472,0.025,0.594,0.605,0.592,0.607,0.599,0.591,0.581,0.574,0.563,0.556,0.561
4,0.550,0.279,0.194,0.510,0.562,0.490,0.449,0.463,0.460,0.466,0.476,0.474,0.567,0.564,0.570,0.580,0.568,0.572,0.446,0.442,0.436,0.505,0.504,0.577,0.568,0.556,0.599,0.584,0.581,0.428,0.448,0.435,0.511,0.493,0.557,0.566,0.558,0.577,0.566,0.567,0.244,0.600,0.597,0.586,0.618,0.626,0.636,0.488,0.579,0.570,0.566,0.499
5,0.410,0.451,0.489,0.434,0.424,0.423,0.520,0.518,0.525,0.508,0.504,0.507,0.558,0.554,0.552,0.511,0.519,0.517,0.521,0.511,0.510,0.492,0.492,0.462,0.454,0.461,0.540,0.535,0.531,0.515,0.509,0.513,0.507,0.507,0.515,0.500,0.508,0.523,0.503,0.510,0.508,0.530,0.536,0.525,0.545,0.539,0.530,0.494,0.525,0.532,0.528,0.499
6,0.343,0.131,0.141,0.210,0.167,0.390,0.453,0.446,0.468,0.442,0.444,0.450,0.474,0.477,0.482,0.439,0.433,0.442,0.461,0.447,0.443,0.444,0.440,0.375,0.379,0.371,0.451,0.437,0.444,0.470,0.450,0.455,0.449,0.454,0.472,0.458,0.464,0.456,0.449,0.455,0.210,0.461,0.463,0.469,0.456,0.463,0.459,0.448,0.479,0.469,0.474,0.461
7,0.459,0.103,0.001,0.477,0.507,0.512,0.510,0.517,0.526,0.526,0.537,0.539,0.564,0.561,0.570,0.523,0.519,0.538,0.506,0.499,0.510,0.530,0.531,0.518,0.503,0.513,0.492,0.515,0.506,0.519,0.511,0.510,0.551,0.551,0.551,0.541,0.566,0.531,0.508,0.513,0.224,0.475,0.485,0.479,0.480,0.483,0.487,0.541,0.495,0.488,0.493,0.557
8,0.622,0.356,0.193,0.566,0.666,0.617,0.597,0.608,0.587,0.595,0.610,0.624,0.688,0.687,0.678,0.648,0.634,0.615,0.614,0.624,0.635,0.626,0.635,0.680,0.694,0.675,0.637,0.631,0.648,0.601,0.590,0.540,0.568,0.597,0.702,0.677,0.691,0.653,0.631,0.613,0.517,0.517,0.523,0.523,0.513,0.515,0.509,0.648,0.511,0.523,0.533,0.637
9,0.309,0.394,0.384,0.273,0.249,0.330,0.320,0.316,0.293,0.275,0.272,0.287,0.252,0.259,0.268,0.306,0.330,0.307,0.321,0.313,0.298,0.282,0.271,0.237,0.259,0.249,0.270,0.283,0.269,0.316,0.298,0.285,0.316,0.301,0.276,0.299,0.296,0.318,0.290,0.278,0.373,0.358,0.381,0.372,0.354,0.365,0.375,0.260,0.347,0.385,0.373,0.280
10,0.606,0.117,0.148,0.163,0.019,0.569,0.573,0.565,0.606,0.478,0.493,0.622,0.647,0.633,0.641,0.601,0.587,0.608,0.564,0.592,0.584,0.574,0.592,0.484,0.595,0.615,0.554,0.532,0.541,0.573,0.573,0.588,0.590,0.609,0.619,0.608,0.630,0.562,0.550,0.584,0.114,0.430,0.470,0.452,0.470,0.461,0.457,0.603,0.434,0.450,0.460,0.604
11,0.418,0.140,0.115,0.384,0.334,0.422,0.470,0.472,0.479,0.413,0.416,0.428,0.435,0.450,0.446,0.426,0.425,0.410,0.469,0.458,0.461,0.435,0.427,0.419,0.394,0.404,0.387,0.398,0.405,0.471,0.464,0.459,0.444,0.435,0.456,0.448,0.432,0.402,0.398,0.410,0.103,0.523,0.532,0.541,0.526,0.535,0.549,0.444,0.561,0.555,0.535,0.459
12,0.551,0.369,0.099,0.535,0.452,0.486,0.524,0.521,0.523,0.571,0.569,0.576,0.540,0.515,0.523,0.460,0.474,0.474,0.534,0.540,0.539,0.590,0.586,0.461,0.442,0.414,0.431,0.435,0.441,0.521,0.512,0.511,0.573,0.562,0.525,0.523,0.519,0.475,0.468,0.492,0.329,0.546,0.561,0.543,0.553,0.545,0.555,0.586,0.568,0.537,0.547,0.583
13,0.602,0.404,0.033,0.581,0.442,0.532,0.562,0.543,0.559,0.532,0.558,0.550,0.577,0.555,0.577,0.532,0.528,0.519,0.566,0.557,0.549,0.550,0.541,0.531,0.473,0.485,0.498,0.490,0.478,0.528,0.541,0.549,0.535,0.543,0.580,0.573,0.564,0.499,0.509,0.521,0.384,0.619,0.646,0.648,0.622,0.628,0.627,0.567,0.604,0.598,0.593,0.556
14,0.315,0.124,0.018,0.218,0.124,0.374,0.367,0.360,0.354,0.308,0.322,0.333,0.213,0.197,0.146,0.387,0.395,0.372,0.344,0.356,0.367,0.383,0.403,0.212,0.193,0.183,0.394,0.389,0.383,0.376,0.362,0.351,0.402,0.384,0.372,0.370,0.391,0.404,0.386,0.398,0.119,0.429,0.450,0.437,0.440,0.459,0.474,0.397,0.460,0.442,0.435,0.397
15,0.282,0.001,0.003,0.154,0.025,0.359,0.332,0.315,0.329,0.200,0.181,0.175,0.058,0.070,0.041,0.358,0.373,0.375,0.342,0.341,0.342,0.363,0.362,0.026,0.009,0.016,0.381,0.389,0.379,0.310,0.305,0.304,0.325,0.339,0.207,0.249,0.292,0.341,0.342,0.326,0.001,0.320,0.337,0.352,0.306,0.292,0.283,0.343,0.349,0.347,0.343,0.331
16,0.380,,0.001,0.218,0.048,0.271,0.366,0.369,0.352,0.133,0.124,0.142,0.164,0.206,0.201,0.372,0.364,0.355,,0.358,0.358,0.346,0.341,0.148,0.093,0.097,0.365,0.352,0.347,0.349,0.363,0.342,0.357,0.350,0.362,0.334,0.331,0.374,0.366,0.359,0.001,0.338,0.360,0.364,0.327,0.321,0.306,0.338,0.367,0.356,0.357,0.360
17,0.318,0.001,0.002,0.257,0.011,0.409,0.394,0.388,0.383,0.256,0.240,0.249,0.102,0.144,0.115,0.408,0.394,0.403,0.435,0.434,0.441,0.380,0.392,0.226,0.182,0.185,0.400,0.415,0.403,0.392,0.372,0.354,0.360,0.373,0.338,0.304,0.366,0.391,0.375,0.382,0.001,0.307,0.327,0.366,0.271,0.194,0.208,0.374,0.375,0.355,0.366,0.373
