task,model,prec,rec,F1
ds1,mc.lm,1e-05,0.4565015055114719,1.9999561015847144e-05
ds1,mc.lm_UNDERB,0.5436548767071384,0.5266585805478553,0.5337692073310195
ds1,mc.lm_UNDERT,0.5378583290666782,0.5234334251255942,0.5291461861198978
ds1,mc.lm_UNDERTPhi,0.5241272257432816,0.5304659920550531,0.5263947650468297
ds1,mc.lm_OVERB,0.5546917372457882,0.5175693618917367,0.5348441996214555
ds1,mc.lm_OVERT,0.5838115951760228,0.5130437915841997,0.5449478887150354
ds1,mc.lm_OVERTPhi,0.5811829266861609,0.5113576836131735,0.5428282348327276
ds1,mc.lm_SMOTEB,0.5106721763862203,0.5267945161149552,0.5177754227318565
ds1,mc.lm_SMOTET,0.4808920757836831,0.5393395735241943,0.5077452124282773
ds1,mc.lm_SMOTETPhi,0.4832302629104079,0.5425501370519854,0.510399467245281
ds1,mc.svm,0.40060388489632087,0.48414848916052444,0.4135172888550659
ds1,mc.svm_UNDERB,0.4095851384950294,0.502630163825609,0.4493904120413814
ds1,mc.svm_UNDERT,0.42219030205791525,0.5130543152384316,0.4622133383293904
ds1,mc.svm_UNDERTPhi,0.4222786301057551,0.5366143538283478,0.47115125855787937
ds1,mc.svm_OVERB,0.41286475305268233,0.4987666562006156,0.45082415830353495
ds1,mc.svm_OVERT,0.4096280062618737,0.49427449855042255,0.4463412372935931
ds1,mc.svm_OVERTPhi,0.4166491262372928,0.4954949953424195,0.4518447038804855
ds1,mc.svm_SMOTEB,0.3895960476276095,0.5058415338724523,0.43916750867231386
ds1,mc.svm_SMOTET,0.3982592408967771,0.5102797999625794,0.446439786387759
ds1,mc.svm_SMOTETPhi,0.4003740789497312,0.5303917820307603,0.4555844634745689
ds1,mc.mars,0.2468351307136405,0.46654736821107756,0.23075396026832493
ds1,mc.mars_UNDERB,0.4579360810409647,0.5303974362639567,0.48914114468545705
ds1,mc.mars_UNDERT,0.4532607047031439,0.5423764328297673,0.4894331704546241
ds1,mc.mars_UNDERTPhi,0.48272478334525104,0.5614534493025597,0.5155238222685223
ds1,mc.mars_OVERB,0.4871148624768801,0.5500774676686109,0.5147212085052207
ds1,mc.mars_OVERT,0.4987567711447998,0.5230384388111448,0.5094076652262696
ds1,mc.mars_OVERTPhi,0.4959265285387315,0.5248589576771656,0.5091045434816756
ds1,mc.mars_SMOTEB,0.4429978164237186,0.5641243765378181,0.4950964656679793
ds1,mc.mars_SMOTET,0.46260619495333777,0.5934746086477347,0.5183942488832627
ds1,mc.mars_SMOTETPhi,0.45168069973182,0.5948724021157592,0.5115304044729687
ds1,mc.rf,0.0048571962833617805,0.4457260081265303,0.006155989181458868
ds1,mc.rf_UNDERB,0.23327940546729745,0.5133869522647067,0.27473751162128757
ds1,mc.rf_UNDERT,0.18952582584829375,0.511371940762634,0.2155169582363444
ds1,mc.rf_UNDERTPhi,0.30939858503974044,0.526367728331999,0.33966976628689827
ds1,mc.rf_OVERB,0.16791191609308093,0.4475346112926455,0.20121083534339249
ds1,mc.rf_OVERT,0.1498305081385247,0.4533699064415711,0.17235270329853808
ds1,mc.rf_OVERTPhi,0.1612446760448604,0.4521244404215413,0.19181054597665897
ds1,mc.rf_SMOTEB,0.4531898769963309,0.5023830134913405,0.47181120725621867
ds1,mc.rf_SMOTET,0.4817132819480701,0.50796345357437,0.4921038655120977
ds1,mc.rf_SMOTETPhi,0.4806378734548652,0.5180958162442805,0.49726853598267134
ds1,mc.rpart,0.4279331321191955,0.4452548469771049,0.43205651801387324
ds1,mc.rpart_UNDERB,0.4103390284629855,0.5578069069904635,0.47072367439154505
ds1,mc.rpart_UNDERT,0.40760541362243335,0.5545437167223125,0.46734421973617735
ds1,mc.rpart_UNDERTPhi,0.4050300479538474,0.552593371333335,0.4599638444017804
ds1,mc.rpart_OVERB,0.44612826535042155,0.4702520286911709,0.45661845282064556
ds1,mc.rpart_OVERT,0.42894142386911827,0.4735527059718168,0.4480855432902366
ds1,mc.rpart_OVERTPhi,0.4311661784428673,0.4754381750520911,0.4502971218569782
ds1,mc.rpart_SMOTEB,0.41620746564071853,0.5373406787405448,0.4672834722335497
ds1,mc.rpart_SMOTET,0.41999664719543495,0.5277900175124354,0.46498016065108644
ds1,mc.rpart_SMOTETPhi,0.417973565316111,0.5379958739438186,0.4675058957237763
ds1,mc.arima,1e-05,0.46585084380299085,1.9999570067404116e-05
ds1,mc.BDES,1e-05,0.4596871832557231,1.9999564618578348e-05
ds10,mc.lm,1e-05,0.6388667594984339,1.9999686941556718e-05
ds10,mc.lm_UNDERB,0.5353263207784764,0.8172435406444098,0.6466528515628639
ds10,mc.lm_UNDERT,0.5388302227881396,0.819072983681935,0.6496624773739218
ds10,mc.lm_UNDERTPhi,0.5137776492344552,0.8818976361822881,0.6491080688928841
ds10,mc.lm_OVERB,0.5660828780898951,0.8180127014427911,0.6690501416958992
ds10,mc.lm_OVERT,0.5702772726878894,0.813750842788472,0.6704893482564631
ds10,mc.lm_OVERTPhi,0.569882250004268,0.8137509437700321,0.6702154134559933
ds10,mc.lm_SMOTEB,0.562677710163921,0.8153651974480917,0.6657585369751082
ds10,mc.lm_SMOTET,0.5366143640905416,0.8169440871784083,0.6476405977149384
ds10,mc.lm_SMOTETPhi,0.5098998978483272,0.8738657116056595,0.6439184587699969
ds10,mc.svm,0.5703737638092066,0.6424891633938674,0.5892529613442637
ds10,mc.svm_UNDERB,0.470303372598541,0.7560580433671015,0.5795430606949975
ds10,mc.svm_UNDERT,0.467912273893691,0.7409752182078568,0.5729737817355202
ds10,mc.svm_UNDERTPhi,0.47982007064288945,0.8446611583338514,0.611834886135734
ds10,mc.svm_OVERB,0.513698204350845,0.7006624779581321,0.5925974599838694
ds10,mc.svm_OVERT,0.5217194638072828,0.7103321420112515,0.6014689834674368
ds10,mc.svm_OVERTPhi,0.5202084811060295,0.7093930862459266,0.6000793167841266
ds10,mc.svm_SMOTEB,0.5131216549997295,0.6980706339426235,0.5912599554353181
ds10,mc.svm_SMOTET,0.5027616465260062,0.6790838809895606,0.5772821006011359
ds10,mc.svm_SMOTETPhi,0.49816073528302973,0.7758626995907956,0.606349623223705
ds10,mc.mars,0.14530353782892214,0.6297499574076082,0.16241310503344686
ds10,mc.mars_UNDERB,0.4206369534393628,0.7545754430984476,0.5146082432016191
ds10,mc.mars_UNDERT,0.3815789350632327,0.7702034443122742,0.4655691626562749
ds10,mc.mars_UNDERTPhi,0.49420593266645896,0.8627792915955219,0.6281980276701108
ds10,mc.mars_OVERB,0.517493881247917,0.7352064715045052,0.6071689285590423
ds10,mc.mars_OVERT,0.5185491152057429,0.7149580876702495,0.6007595539176106
ds10,mc.mars_OVERTPhi,0.5308720361623586,0.7206527299650952,0.6107884763520706
ds10,mc.mars_SMOTEB,0.5286524567747245,0.7271518360956645,0.6118874330114558
ds10,mc.mars_SMOTET,0.5154521522404316,0.7182943661767198,0.5996810568890798
ds10,mc.mars_SMOTETPhi,0.5002784659397037,0.8080291630714158,0.6176756824719805
ds10,mc.rf,1e-05,0.6213709523306942,1.9999678110209307e-05
ds10,mc.rf_UNDERB,0.5449519765479399,0.8060902848502925,0.6494802985084415
ds10,mc.rf_UNDERT,0.5480564903310129,0.8019130270553981,0.6507113312485373
ds10,mc.rf_UNDERTPhi,0.5084676647777031,0.894572970712812,0.6482846509258715
ds10,mc.rf_OVERB,0.48816937765210144,0.6396044726538674,0.4519068371900869
ds10,mc.rf_OVERT,0.7152068155401485,0.6300281851532306,0.6200640144874626
ds10,mc.rf_OVERTPhi,0.7132680767706705,0.6298944102644771,0.6133449337286347
ds10,mc.rf_SMOTEB,0.5872260732484108,0.6759485299791019,0.6204367515758278
ds10,mc.rf_SMOTET,0.5903457487643864,0.6715729700467504,0.626967793731265
ds10,mc.rf_SMOTETPhi,0.5285140268068864,0.8141637899826931,0.6405653298798325
ds10,mc.rpart,0.5174658973139421,0.6244318615001528,0.5429610572411309
ds10,mc.rpart_UNDERB,0.48360269150558055,0.7930416282050468,0.6004322774125853
ds10,mc.rpart_UNDERT,0.48681570197186685,0.7877200675468375,0.6013627911623644
ds10,mc.rpart_UNDERTPhi,0.48492126768563937,0.8698620671831512,0.6225057127948775
ds10,mc.rpart_OVERB,0.510005555979664,0.618385372422064,0.5583059255076234
ds10,mc.rpart_OVERT,0.5112425607613017,0.6151112969201636,0.5575834633984594
ds10,mc.rpart_OVERTPhi,0.5096951942534848,0.6094843614712678,0.5546296911268721
ds10,mc.rpart_SMOTEB,0.49189748847840464,0.672778281001177,0.5677739637261306
ds10,mc.rpart_SMOTET,0.49532090347133445,0.6671793208648505,0.5679947280458579
ds10,mc.rpart_SMOTETPhi,0.4851715359175239,0.7979180222058495,0.6032691168789283
ds10,mc.arima,1e-05,0.6382279196974027,1.999968662712649e-05
ds10,mc.BDES,1e-05,0.6200328935557677,1.999967742318903e-05
ds11,mc.lm,0.2678270963782078,0.38604297031470886,0.24082253557787558
ds11,mc.lm_UNDERB,0.4283267357270441,0.46805414858493655,0.4466910879387702
ds11,mc.lm_UNDERT,0.43168074229589537,0.4683810827094311,0.44881073504912244
ds11,mc.lm_UNDERTPhi,0.4185673462359004,0.46720740989244797,0.44069147004638975
ds11,mc.lm_OVERB,0.4266270803057829,0.4678863044832504,0.4457621474146602
ds11,mc.lm_OVERT,0.4389583378519503,0.47458830982039196,0.45584113936366405
ds11,mc.lm_OVERTPhi,0.4391634510264341,0.47274520399790115,0.45517433651890116
ds11,mc.lm_SMOTEB,0.4441120340450736,0.5108866196288384,0.474639777068785
ds11,mc.lm_SMOTET,0.4404539792332108,0.49073067201932985,0.4635660921176751
ds11,mc.lm_SMOTETPhi,0.43339773247373503,0.48881355992714004,0.4588491078443614
ds11,mc.svm,0.5778303677491236,0.392252373429619,0.42547619718239643
ds11,mc.svm_UNDERB,0.4444775896407433,0.49427293676958894,0.46701583482015957
ds11,mc.svm_UNDERT,0.45050406791798153,0.500509898607351,0.4730696628834154
ds11,mc.svm_UNDERTPhi,0.44822238084775523,0.5104832746243104,0.47665513768487755
ds11,mc.svm_OVERB,0.4288311455822313,0.5135307076871053,0.4668935950424507
ds11,mc.svm_OVERT,0.4212358403427557,0.5083899878545283,0.460158254735615
ds11,mc.svm_OVERTPhi,0.4190064897670934,0.5038464288636825,0.45713917534967297
ds11,mc.svm_SMOTEB,0.4136870860613906,0.5337229939684924,0.46556823231737077
ds11,mc.svm_SMOTET,0.4000262306784985,0.5301718586007872,0.4556294813198698
ds11,mc.svm_SMOTETPhi,0.3886226115344379,0.5257007666318677,0.44642206939683016
ds11,mc.mars,0.41995929548227096,0.389001752574764,0.38878782827608716
ds11,mc.mars_UNDERB,0.396446023692466,0.43210903169339604,0.4121633039457783
ds11,mc.mars_UNDERT,0.3919724614838277,0.4352506403368347,0.41154393716114007
ds11,mc.mars_UNDERTPhi,0.4042902002279466,0.42865273536057347,0.41461912500355974
ds11,mc.mars_OVERB,0.42345828364463245,0.4569093526041529,0.4387208576392085
ds11,mc.mars_OVERT,0.41659029419291116,0.4441312609790344,0.42933043911534297
ds11,mc.mars_OVERTPhi,0.4146602054653381,0.43733856694259154,0.42478164472908747
ds11,mc.mars_SMOTEB,0.4195563743506321,0.4952774668235513,0.4535391871508281
